0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:25 +0530] "GET /sdCommunity/AdvHome.jsp HTTP/1.1" 500 2509
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:31 +0530] "POST /sdCommunity/AdvLoginServlet.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:31 +0530] "GET /sdCommunity/AdvLogin.jsp?message=Failed HTTP/1.1" 200 7111
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:31 +0530] "GET /sdCommunity/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:31 +0530] "GET /sdCommunity/img/sn2..png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:31 +0530] "GET /sdCommunity/img/thirdOneMainPage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:31 +0530] "GET /sdCommunity/img/Idea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:43 +0530] "GET /sdCommunity/Login.jsp HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/LoginServlet.jsp?email=shamil%40gm.com&password=Shamil%40123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/UserHome.jsp HTTP/1.1" 200 27394
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/poimg?id=15 HTTP/1.1" 200 35940
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/image?id=9 HTTP/1.1" 200 11722
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/image?id=2 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/poimg?id=11 HTTP/1.1" 200 8540
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/image?id=5 HTTP/1.1" 200 41788
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/poimg?id=14 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/poimg?id=10 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/image?id=4 HTTP/1.1" 200 54768
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/image?id=8 HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [25/Oct/2023:12:51:46 +0530] "GET /sdCommunity/poimg?id=8 HTTP/1.1" 200 34375
