127.0.0.1 - - [01/Oct/2023:10:42:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:54 +0530] "GET /sdCommunity/ HTTP/1.1" 200 5461
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:54 +0530] "GET /sdCommunity/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:54 +0530] "GET /sdCommunity/img/Idea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:54 +0530] "GET /sdCommunity/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:54 +0530] "GET /sdCommunity/css/img/bg-stars-1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:54 +0530] "GET /sdCommunity/img/worldrotate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:54 +0530] "GET /sdCommunity/css/img/sn2..png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:59 +0530] "GET /sdCommunity/Login.jsp HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:59 +0530] "GET /sdCommunity/logincss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:59 +0530] "GET /sdCommunity/logincss/img/socialNetwork.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:42:59 +0530] "GET /sdCommunity/logincss/img/bg-stars-1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:02 +0530] "GET /sdCommunity/LoginServlet.jsp?email=ajkkalappatt%40gmail.com&password=Asd%40123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:02 +0530] "GET /sdCommunity/UserHome.jsp HTTP/1.1" 200 18662
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:02 +0530] "GET /sdCommunity/homecss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:03 +0530] "GET /sdCommunity/image?id=1 HTTP/1.1" 200 27389
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:03 +0530] "GET /sdCommunity/image?id=7 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:03 +0530] "GET /sdCommunity/homecss/img/bg-stars-1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:03 +0530] "GET /sdCommunity/poimg?id=4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:03 +0530] "GET /sdCommunity/poimg?id=3 HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:03 +0530] "GET /sdCommunity/image?id=6 HTTP/1.1" 200 57542
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:03 +0530] "GET /sdCommunity/poimg?id=1 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:39 +0530] "GET /sdCommunity/viewProfile.jsp HTTP/1.1" 200 15521
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:39 +0530] "GET /sdCommunity/signupcss/img/social-network.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:39 +0530] "GET /sdCommunity/image?id=1 HTTP/1.1" 200 27389
0:0:0:0:0:0:0:1 - - [01/Oct/2023:10:43:39 +0530] "GET /sdCommunity/poimg?id=1 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:09 +0530] "GET /sdCommunity/UserHome.jsp HTTP/1.1" 200 18713
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:09 +0530] "GET /sdCommunity/image?id=6 HTTP/1.1" 200 57542
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:09 +0530] "GET /sdCommunity/poimg?id=4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:09 +0530] "GET /sdCommunity/poimg?id=1 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:09 +0530] "GET /sdCommunity/image?id=1 HTTP/1.1" 200 27389
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:09 +0530] "GET /sdCommunity/poimg?id=3 HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:09 +0530] "GET /sdCommunity/image?id=7 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:12 +0530] "GET /sdCommunity/userViewPost?id=4 HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:49 +0530] "GET /sdCommunity/UserHome.jsp HTTP/1.1" 200 18713
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:49 +0530] "GET /sdCommunity/poimg?id=1 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:49 +0530] "GET /sdCommunity/poimg?id=3 HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:49 +0530] "GET /sdCommunity/image?id=6 HTTP/1.1" 200 57542
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:49 +0530] "GET /sdCommunity/image?id=1 HTTP/1.1" 200 27389
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:49 +0530] "GET /sdCommunity/poimg?id=4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:49 +0530] "GET /sdCommunity/image?id=7 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:07:51 +0530] "GET /sdCommunity/UserViewPost?id=4 HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:10 +0530] "GET /sdCommunity/UserHome.jsp HTTP/1.1" 200 18725
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:10 +0530] "GET /sdCommunity/image?id=1 HTTP/1.1" 200 27389
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:10 +0530] "GET /sdCommunity/image?id=7 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:10 +0530] "GET /sdCommunity/image?id=6 HTTP/1.1" 200 57542
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:10 +0530] "GET /sdCommunity/poimg?id=3 HTTP/1.1" 200 8081
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:10 +0530] "GET /sdCommunity/poimg?id=4 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:10 +0530] "GET /sdCommunity/poimg?id=1 HTTP/1.1" 200 21005
0:0:0:0:0:0:0:1 - - [01/Oct/2023:11:08:12 +0530] "GET /sdCommunity/UserViewPost.jsp?id=4 HTTP/1.1" 404 746
